Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
HPG,2024-11-12,1158700,31.95,1781000,49.04,-622300,-17.09
HPG,2024-11-11,1882800,51.43,2312000,63.19,-429200,-11.75
HPG,2024-11-08,1910700,51.86,1390300,37.84,520400,14.02
HPG,2024-11-07,842900,22.84,953700,25.81,-110800,-2.97
HPG,2024-11-06,3728200,100.57,1417900,38.09,2310300,62.48
HPG,2024-11-05,322900,8.55,1331000,35.18,-1008100,-26.63
HPG,2024-11-04,1875500,49.42,2084700,54.9,-209200,-5.48
HPG,2024-11-01,1378900,36.69,1492100,39.7,-113200,-3.01
HPG,2024-10-31,1276200,34.39,815400,21.95,460800,12.44
HPG,2024-10-30,957200,25.79,882000,23.73,75200,2.06
HPG,2024-10-29,1235900,33.19,984400,26.47,251500,6.71
HPG,2024-10-28,1525300,40.79,632700,16.9,892600,23.89
HPG,2024-10-25,2105000,55.91,735600,19.53,1369400,36.38
HPG,2024-10-24,1638000,43.37,1084500,28.72,553500,14.65
HPG,2024-10-23,838500,22.25,1452000,38.54,-613500,-16.3
HPG,2024-10-22,1265500,33.71,978300,26.08,287200,7.63
HPG,2024-10-21,281000,7.54,1612200,43.22,-1331200,-35.67
HPG,2024-10-18,964900,26.19,635500,17.22,329400,8.98
HPG,2024-10-17,1135500,30.69,960600,25.97,174900,4.72
HPG,2024-10-16,1013900,27.6,528500,14.38,485400,13.22
HPG,2024-10-15,1040800,28.4,1107300,30.21,-66500,-1.82
HPG,2024-10-14,338600,9.23,1942900,52.87,-1604300,-43.64
HPG,2024-10-11,4845600,130.53,801100,21.81,4044500,108.72
HPG,2024-10-10,1556000,42.67,1077600,29.57,478400,13.1
HPG,2024-10-09,2251300,61.6,4547800,122.86,-2296500,-61.25
HPG,2024-10-08,1924000,51.25,1699500,45.33,224500,5.92
HPG,2024-10-07,3613100,94.77,1796100,47.3,1817000,47.46
