Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2015-10-07,31.5(-1.56 %),-189090,-6.01,720740,22.84,909830,28.85,70458408,39.39%
2015-10-06,32(1.91 %),-938620,-29.83,596050,18.98,1534670,48.8,70269318,39.41%
2015-10-05,31.4(1.62 %),-430300,-13.39,222000,6.95,652300,20.34,69330698,39.54%
2015-10-02,30.9(0.65 %),107000,3.32,107000,3.32,0,0,68900398,39.6%
2015-10-01,30.7(0.99 %),0,0,0,0,0,0,69007398,39.58%
2015-09-30,30.4(1.00 %),10380,0.33,167100,5.11,156720,4.78,67562363,39.78%
2015-09-29,30.1(-0.33 %),-479210,-14.33,100,0,479310,14.34,67572743,39.78%
2015-09-28,30.2(-2.89 %),-382010,-11.64,11400,0.35,393410,11.99,67093533,39.85%
2015-09-25,31.1(-0.96 %),10000,0.31,11000,0.34,1000,0.03,66711523,39.9%
2015-09-24,31.4(-0.63 %),-115340,-3.64,1000,0.03,116340,3.67,66721523,39.9%
2015-09-23,31.6(-0.63 %),-79080,-2.49,9000,0.28,88080,2.77,66606183,39.91%
2015-09-22,31.8(0.32 %),206980,6.57,213990,6.79,7010,0.22,66527103,39.92%
2015-09-21,31.7(2.92 %),266080,8.62,833780,26.26,567700,17.64,66734083,39.9%
2015-09-18,30.8(2.67 %),288930,8.85,641190,19.68,352260,10.82,67000163,39.86%
2015-09-17,30(1.01 %),135690,4.1,138730,4.19,3040,0.09,67289093,39.82%
2015-09-16,29.7(1.71 %),-11420,-0.34,100,0,11520,0.34,67424783,39.8%
2015-09-15,29.2(-0.34 %),-249890,-7.31,0,0,249890,7.31,67413363,39.8%
2015-09-14,29.3(-1.35 %),3320,0.1,6320,0.19,3000,0.09,67163473,39.84%
2015-09-11,29.7(-2.30 %),-290000,-8.71,0,0,290000,8.71,67166793,39.84%
2015-09-10,30.4(-0.98 %),199120,6.06,239120,7.28,40000,1.22,66876793,39.88%
2015-09-09,30.7(1.66 %),43100,1.36,533100,16.34,490000,14.98,67075913,39.85%
2015-09-08,30.2(3.42 %),100000,3,100000,3,0,0,67119013,39.84%
2015-09-07,29.2(-1.68 %),-5430,-0.17,100900,2.95,106330,3.12,67219013,39.83%
2015-09-04,29.7(-1.33 %),-227880,-6.83,49890,1.51,277770,8.34,67213583,39.83%
2015-09-03,30.1(-3.22 %),-482410,-14.71,14650,0.45,497060,15.16,66985703,39.86%
2015-09-01,31.1(0.00 %),-319840,-9.99,215160,6.76,535000,16.75,66503293,39.93%
2015-08-31,31.1(-1.58 %),109470,3.42,162570,5.07,53100,1.65,66972331,39.86%
2015-08-28,31.6(0.96 %),-981520,-30.94,263020,8.29,1244540,39.22,67081801,39.85%
2015-08-27,31.3(-0.63 %),-595530,-18.7,196300,6.15,791830,24.85,66100281,39.98%
2015-08-26,31.5(5.00 %),-17350,-0.56,71070,2.22,88420,2.78,65504751,40.06%
2015-08-25,30(6.76 %),302260,8.87,787700,22.89,485440,14.02,65487401,40.07%
2015-08-24,28.1(-6.95 %),1716170,49.25,1795420,51.56,79250,2.32,65789661,40.02%
2015-08-21,30.2(-2.89 %),-75060,-2.28,388630,11.65,463690,13.93,67505831,39.79%
2015-08-20,31.1(-2.20 %),159980,4.99,348250,10.91,188270,5.92,67430771,39.8%
2015-08-19,31.8(-0.93 %),-291220,-9.28,150300,4.77,441520,14.05,67590751,39.78%
2015-08-18,32.1(1.26 %),-158940,-5.08,441330,14.07,600270,19.15,67299531,39.82%
2015-08-17,31.7(-2.76 %),62000,1.99,262760,8.5,200760,6.51,67140591,39.84%
2015-08-14,32.6(-0.31 %),-306900,-9.96,185500,6.05,492400,16.01,67202591,39.83%
2015-08-13,32.7(-1.80 %),211030,6.85,271130,8.84,60100,2,66895691,39.87%
2015-08-12,33.3(-3.48 %),-410450,-13.71,168400,5.67,578850,19.37,67106721,39.84%
2015-08-11,34.5(-0.86 %),381000,13.22,715050,24.83,334050,11.61,66696271,39.9%
2015-08-10,34.8(2.05 %),-181200,-6.29,545980,19,727180,25.29,67077271,39.85%
2015-08-07,34.1(2.71 %),202600,6.78,839050,28.46,636450,21.69,66896071,39.87%
2015-08-06,33.2(-1.19 %),352830,11.79,360950,12.06,8120,0.27,67098671,39.85%
2015-08-05,33.6(3.07 %),115340,3.83,301340,10.07,186000,6.24,67451501,39.8%
2015-08-04,32.6(0.31 %),-346160,-11.34,269310,8.81,615470,20.15,67566841,39.78%
2015-08-03,32.5(0.00 %),17760,0.56,468760,15.04,451000,14.48,67220681,39.83%
2015-07-31,32.5(-3.27 %),-19010,-0.64,109430,3.63,128440,4.28,68457984,39.66%
2015-07-30,33.6(0.60 %),-285470,-9.6,53050,1.79,338520,11.38,68438974,39.66%
2015-07-29,33.4(-2.62 %),-418820,-14.08,392140,13.38,810960,27.46,68153504,39.7%
2015-07-28,34.3(-3.65 %),-23380,-0.8,116060,4.08,139440,4.88,67734684,39.76%
2015-07-27,35.6(2.89 %),-443450,-15.73,244130,8.66,687580,24.39,67711304,39.76%
2015-07-24,34.6(4.53 %),476270,16.38,925730,31.81,449460,15.43,67267854,39.82%
2015-07-23,33.1(-1.19 %),22450,0.74,283000,9.43,260550,8.69,67744124,39.76%
2015-07-22,33.5(6.69 %),961350,32.11,2249080,74.15,1287730,42.04,67766574,39.75%
2015-07-21,31.4(2.95 %),-310,0.11,859190,26.82,859500,26.71,68727924,39.62%
2015-07-20,30.5(0.99 %),159920,4.83,176930,5.35,17010,0.52,68727614,39.62%
2015-07-17,30.2(2.03 %),56580,1.72,188600,5.74,132020,4.02,68887534,39.6%
2015-07-16,29.6(3.50 %),-728770,-21.29,4500,0.13,733270,21.42,68944114,39.59%
2015-07-15,28.6(-2.05 %),-296700,-8.6,701380,20.34,998080,28.94,68215344,39.69%
2015-07-14,29.2(1.74 %),-183100,-5.25,774060,22.51,957160,27.76,67918644,39.73%
2015-07-13,28.7(-0.69 %),-557760,-16.12,6970,0.2,564730,16.32,67735544,39.76%
2015-07-10,28.9(-1.03 %),-517470,-15.1,106560,3.1,624030,18.2,67177784,39.83%
2015-07-09,29.2(-2.01 %),-235050,-6.89,615001,18.15,850051,25.04,66660314,39.91%
2015-07-08,29.8(-1.00 %),8670,0.25,279430,8.39,270760,8.14,66425264,39.94%
2015-07-07,30.1(2.38 %),-537390,-16.17,357980,10.77,895370,26.94,66433934,39.94%
2015-07-06,29.4(2.44 %),20910,0.63,478360,13.99,457450,13.35,65896544,40.01%
2015-07-03,28.7(0.35 %),155820,4.47,361910,10.39,206090,5.92,65917454,40.01%
2015-07-02,28.6(1.42 %),214520,6.11,656790,18.73,442270,12.62,66073274,39.99%
2015-07-01,28.2(-2.42 %),123220,3.55,236360,6.74,113140,3.2,66287794,39.96%
2015-06-30,28.9(3.21 %),2414850,69.21,2810670,80.58,395820,11.37,45738276,42.76%
2015-06-29,28(2.56 %),747480,20.78,1078640,29.93,331160,9.14,48153126,42.43%
2015-06-26,27.3(-0.36 %),49120,1.34,75010,2.05,25890,0.71,48900606,42.33%
2015-06-25,27.4(-1.79 %),-10310,-0.28,95870,2.65,106180,2.92,48949726,42.32%
2015-06-24,27.9(-1.06 %),293000,8.21,405980,11.38,112980,3.17,48939416,42.32%
2015-06-23,28.2(1.44 %),261750,7.34,782440,22.02,520690,14.67,49232416,42.28%
2015-06-22,27.8(1.09 %),94150,2.62,164150,4.56,70000,1.95,49494166,42.25%
2015-06-19,27.5(-2.83 %),-1147060,-31.55,669900,18.69,1816960,50.23,49588316,42.23%
2015-06-18,28.3(-0.35 %),200740,5.69,532280,15.09,331540,9.4,48441256,42.39%
2015-06-17,28.4(-1.73 %),83830,2.39,926750,26.45,842920,24.06,48641996,42.36%
2015-06-16,28.9(0.70 %),-220830,-6.48,855110,24.74,1075940,31.23,68535881,39.65%
2015-06-15,28.7(0.35 %),453650,12.92,861400,24.57,407750,11.64,47179646,39.34%
2015-06-12,28.6(-0.69 %),442540,12.68,911820,26.13,469280,13.45,46067656,39.57%
2015-06-11,28.8(1.77 %),166430,4.81,442140,12.79,275710,7.98,49401186,38.89%
2015-06-10,28.3(4.81 %),-1230090,-34.43,320140,8.94,1550230,43.38,49567616,38.86%
2015-06-09,27(3.85 %),-1127340,-30.51,546050,14.85,1673390,45.36,48337526,39.11%
2015-06-08,26(2.77 %),-102740,-2.66,380500,9.88,483240,12.54,47210186,39.34%
2015-06-05,25.3(-1.56 %),-1721080,-43.65,17390,0.44,1738470,44.09,47107446,39.36%
2015-06-04,25.7(0.39 %),-989500,-25.44,87500,2.25,1077000,27.69,45386366,39.71%
2015-06-03,25.6(-2.66 %),-1181600,-30.62,105030,2.72,1286630,33.35,44396866,39.91%
2015-06-02,26.3(-0.38 %),-270860,-7.14,289410,7.63,560270,14.76,43215266,40.16%
2015-06-01,26.4(-0.75 %),-34440,-0.91,159560,4.24,194000,5.15,42944406,40.21%
2015-05-29,26.6(-0.75 %),-134090,-3.57,279820,7.46,413910,11.02,42741387,40.25%
2015-05-28,26.8(0.00 %),-44180,-1.18,129790,3.49,173970,4.68,42607297,40.28%
2015-05-27,26.8(-1.47 %),-78910,-2.11,65830,1.78,144740,3.89,42563117,40.29%
2015-05-26,27.2(1.87 %),216890,5.86,223850,6.04,6960,0.19,42484207,40.31%
2015-05-25,26.7(-0.74 %),35740,0.96,39740,1.06,4000,0.11,42701097,40.26%
2015-05-22,26.9(0.75 %),-15290,-0.36,214710,5.75,230000,6.12,42736837,40.25%
2015-05-21,26.7(0.00 %),48910,1.31,208910,5.58,160000,4.27,42721547,40.26%
2015-05-20,26.7(6.80 %),-8560,-0.06,354840,9.28,363400,9.34,42770457,40.25%
2015-05-19,25(0.81 %),-358420,-8.96,201670,5.04,560090,14,42761897,40.25%
2015-05-18,24.8(-4.98 %),-727350,-18.25,416700,10.51,1144050,28.76,42403477,40.32%
2015-05-15,26.1(-2.61 %),-310690,-8.15,58090,1.54,368780,9.69,41676127,40.47%
2015-05-14,26.8(1.90 %),-250610,-6.61,335750,8.83,586360,15.44,41365437,40.53%
2015-05-13,26.3(-2.23 %),-771260,-20.27,9430,0.25,780690,20.53,41114827,40.59%
2015-05-12,26.9(-2.89 %),-199330,-5.4,122900,3.39,322230,8.79,40343567,40.74%
2015-05-11,27.7(-1.77 %),-198560,-5.54,1000,0.03,199560,5.57,40144237,40.78%
2015-05-08,28.2(-1.05 %),-161290,-4.62,5930,0.17,167220,4.79,39945677,40.83%
2015-05-07,43.8(0.69 %),-34900,-1.53,115100,5.04,150000,6.57,39784387,40.86%
2015-05-06,43.5(-1.58 %),-382980,-16.87,900,0.04,383880,16.91,39749487,40.87%
2015-05-05,44.2(2.08 %),-139770,-6.18,205830,9,345600,15.19,39366507,40.94%
2015-05-04,43.3(-1.59 %),-249010,-10.92,29120,1.26,278130,12.18,39226737,40.97%
