Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2024-12-30,150.5(0.60 %),-15200,-2.2,450500,67.51,465700,69.72,50319543,45.58%
2024-12-27,149.6(-0.13 %),488800,72.93,787500,117.5,298700,44.57,49657280,45.62%
2024-12-26,149.8(-0.66 %),-451600,-67.69,678100,101.72,1129700,169.41,49825583,45.61%
2024-12-25,150.8(0.27 %),-84500,-12.76,568800,85.72,653300,98.48,49416129,45.64%
2024-12-24,150.4(0.40 %),0,0,0,0,0,0,48421216,45.71%
2024-12-20,149.5(0.95 %),581900,87.01,2507700,375.46,1925800,288.45,47396219,45.78%
2024-12-19,148.1(-0.40 %),738900,109.41,1922400,284.56,1183500,175.15,49099341,45.66%
2024-12-18,148.7(0.47 %),643600,95.93,1441300,214.91,797700,118.97,46998953,45.81%
2024-12-17,148(-1.27 %),-2093700,-311.18,1902000,283.68,3995700,594.85,47054120,45.8%
2024-12-16,149.9(0.27 %),-28200,-4.19,1357900,203.72,1386100,207.91,47004335,45.8%
2024-12-10,149.5(1.70 %),834000,123.75,1267100,187.89,433100,64.14,46455326,45.84%
2024-12-09,147(-1.67 %),-1808300,-265.93,616700,90.66,2425000,356.59,45404697,45.91%
2024-12-05,0(0.00 %),510300,74.37,1495000,218.13,984700,143.76,44952775,45.94%
2024-12-04,0(0.00 %),-925800,-134.2,733800,106.44,1659600,240.64,44708025,45.96%
2024-12-03,0(0.00 %),-387300,-55.63,1328200,191.11,1715500,246.74,42551335,46.11%
2024-12-02,0(0.00 %),-1143600,-163.73,1698900,243.96,2842500,407.69,42261335,46.13%
2024-11-29,0(0.00 %),1668400,237.04,3286500,467.11,1618100,230.07,43334243,46.05%
2024-11-28,139.4(0.36 %),1639800,228.31,2265900,315.54,626100,87.23,45787877,45.89%
2024-11-27,138.9(2.74 %),4260400,589.44,5092800,704.57,832400,115.13,47509483,45.77%
2024-11-26,135.2(0.97 %),1019700,137.63,1580900,213.14,561200,75.51,52377059,45.44%
2024-11-25,133.9(0.00 %),520000,69.58,779500,104.25,259500,34.67,53841432,45.34%
2024-11-22,133.9(0.68 %),449600,60.12,695200,92.94,245600,32.82,48722072,0%
2024-11-21,133(0.45 %),-482800,-63.26,643000,85.04,1125800,148.3,49171672,0%
2024-11-20,132.4(1.85 %),-2002300,-250.73,1982200,260.11,3984500,510.84,48688872,0%
2024-11-19,130(-2.99 %),-1682700,-221.12,1550800,202.9,3233500,424.03,46686572,0%
2024-11-18,134(0.07 %),-211700,-28.16,1032500,137.84,1244200,166,45003872,0%
2024-11-15,133.9(-1.54 %),-2526200,-338.25,522800,69.86,3049000,408.11,44792172,0%
2024-11-14,136(-1.31 %),-1451100,-199.87,332800,45.9,1783900,245.77,42265972,0%
2024-11-13,137.8(0.73 %),-207200,-28.3,803600,110.3,1010800,138.6,40814872,0%
2024-11-12,136.8(-1.08 %),-337000,-45.99,426400,58.39,763400,104.38,47595411,45.76%
2024-11-11,138.3(1.84 %),35200,4.92,343700,47.3,308500,42.38,40270672,0%
2024-11-08,135.8(0.52 %),144200,19.57,284200,38.59,140000,19.01,40305872,0%
2024-11-07,135.1(0.37 %),181800,24.59,458500,62.1,276700,37.52,40450072,0%
2024-11-06,134.6(1.51 %),-68100,-9.12,282100,37.79,350200,46.92,40631872,0%
2024-11-05,132.6(-0.15 %),-426600,-56.63,174300,23.15,600900,79.78,40563772,0%
2024-11-04,132.8(-1.34 %),-758800,-101.07,685000,91.26,1443800,192.33,40137172,0%
2024-11-01,134.6(-0.96 %),-379200,-50.86,594000,79.87,973200,130.73,39378372,0%
2024-10-31,135.9(0.00 %),-37600,-5.09,435100,59.01,472700,64.1,39443607,0%
2024-10-30,135.9(0.37 %),803400,108.87,1029100,139.44,225700,30.58,39406007,0%
2024-10-29,135.4(0.37 %),-100200,-13.51,887800,119.86,988000,133.37,40209407,0%
2024-10-28,134.9(0.67 %),370000,49.79,404300,54.39,34300,4.6,40109207,0%
2024-10-25,134(-0.22 %),34900,4.67,517000,69.22,482100,64.55,40479207,0%
2024-10-24,134.3(0.07 %),523500,70.16,1087600,145.79,564100,75.63,40514107,0%
2024-10-23,134.2(0.83 %),280100,37.58,679700,91.01,399600,53.43,41037607,0%
2024-10-22,133.1(-1.77 %),-74000,-9.79,856700,115.35,930700,125.14,41317707,0%
2024-10-21,135.5(-1.09 %),-465400,-63.26,673600,92.31,1139000,155.57,41243707,0%
2024-10-18,137(0.00 %),159900,21.93,769000,105.43,609100,83.51,40778307,0%
2024-10-17,137(0.51 %),-146100,-20.07,675200,91.96,821300,112.04,40938207,0%
2024-10-16,136.3(-0.51 %),-512300,-69.96,102700,14.01,615000,83.97,40792107,0%
2024-10-15,137(-0.44 %),-858500,-118,220500,30.27,1079000,148.27,40279807,0%
2024-10-14,137.6(-1.43 %),-1263500,-175.77,947900,131.45,2211400,307.23,39421307,0%
2024-10-11,139.6(-1.48 %),-675300,-94.73,708800,99.7,1384100,194.43,38157807,0%
2024-10-10,141.7(4.65 %),2308600,322.26,2857700,399.43,549100,77.17,37482507,0%
2024-10-09,135.4(1.20 %),534500,72.3,842100,113.87,307600,41.58,39791107,0%
